* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Jul 1 2024 11:47:26

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX4K
Package, TQ144

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, not used, , , , , , leftBank
102, PIO, not used, , , , , , rightBank
103, GND, not used, , , , , , UnknownBank
104, PIO, not used, , , , , , rightBank
105, PIO, not used, , , , , , rightBank
106, PIO, not used, , , , , , rightBank
107, PIO, not used, , , , , , rightBank
108, VPP_PUMP, not used, , , , , , UnknownBank
109, VPP_DIRECT, not used, , , , , , UnknownBank
110, PIO, not used, , , , , , topBank
111, VCC, not used, , , , , , UnknownBank
112, PIO, M_SCLK4, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
113, PIO, M_MOSI4, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
114, PIO, M_MISO4, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
115, PIO, M_CS4, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
116, PIO, M_CLK4, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
117, PIO, M_DRDY4, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
118, PIO, not used, , , , , , topBank
119, PIO, not used, , , , , , topBank
120, PIO, M_OSR0, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
121, PIO, M_OSR1, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
122, PIO, M_FLT0, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
123, VCCIO_0, not used, , , , , , topBank
124, PIO, not used, , , , , , topBank
125, PIO, M_FLT1, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
126, AVDD_TOP, not used, , , , , , UnknownBank
127, AGND_TOP, not used, , , , , , UnknownBank
128, PIO_GBIN, not used, , , , , , topBank
129, PIO_GBIN, not used, , , , , , topBank
130, PIO, M_POW, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
131, VCCIO_0, not used, , , , , , topBank
132, GND, not used, , , , , , UnknownBank
134, PIO, M_DCSEL, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
135, PIO, M_START, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
136, PIO, not used, , , , , , topBank
137, PIO, M_SCLK3, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
138, PIO, M_MOSI3, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
139, PIO, M_MISO3, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
140, GND, not used, , , , , , UnknownBank
141, PIO, M_CS3, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
142, PIO, M_CLK3, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
143, PIO, M_DRDY3, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
144, PIO, not used, , , , , , topBank
Total Number of Used Pins, 48
